id,date_account_created,gender,age,signup_method,language,affiliate_channel,affiliate_provider,signup_app,first_device_type,first_browser
szx28ujmhf,2014-07-01,FEMALE,28,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
rddbczuxx1,2014-07-01,FEMALE,53,basic,en,sem-brand,google,Web,Mac Desktop,Safari
n10skstp90,2014-07-01,FEMALE,25,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
5jrbdigmv4,2014-07-01,-unknown-,,basic,en,sem-brand,bing,Web,Windows Desktop,IE
y0frb6t1kq,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,iPad,Mobile Safari
e3slm56xll,2014-07-01,MALE,32,facebook,en,sem-brand,google,Web,Mac Desktop,Safari
kkwypqtlra,2014-07-01,MALE,26,basic,en,sem-brand,google,Web,Mac Desktop,Safari
t8hk5t7mcf,2014-07-01,FEMALE,22,facebook,en,sem-brand,bing,Web,Windows Desktop,IE
tvlh11azwo,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
gemyhv9gb9,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
l3pmdh5txj,2014-07-01,FEMALE,,basic,en,sem-brand,google,Web,Windows Desktop,IE
ur4dlks25n,2014-07-01,-unknown-,,basic,fr,sem-brand,google,Web,Mac Desktop,Firefox
wk90gygtcj,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
kkbmwxa5ml,2014-07-01,FEMALE,48,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
x7v17g3tx5,2014-07-01,MALE,105,facebook,en,sem-brand,google,Web,Mac Desktop,Firefox
99vpo9fj5d,2014-07-01,MALE,26,facebook,en,sem-brand,google,Web,Windows Desktop,Chrome
9psr4ramhc,2014-07-01,MALE,59,facebook,en,sem-brand,google,Web,Windows Desktop,Chrome
ukubebj02j,2014-07-01,FEMALE,32,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
th6y78zk4q,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
0hson9d0e0,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
qm8p85kg9a,2014-07-01,FEMALE,54,basic,en,sem-brand,google,Web,Mac Desktop,Safari
bpqxef1vp5,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
3pq64r7ph6,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,IE
sg6tpb4g1f,2014-07-01,MALE,42,basic,en,sem-brand,google,Web,Mac Desktop,Safari
krras8ueqd,2014-07-01,FEMALE,19,facebook,en,sem-brand,google,Web,Mac Desktop,Chrome
8mekk69xmu,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,iPad,Mobile Safari
cx1vsjz7vn,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Chrome
gg50sg25wm,2014-07-01,MALE,48,basic,en,sem-brand,google,Web,Windows Desktop,IE
nomt5bak3i,2014-07-01,MALE,49,facebook,en,sem-brand,google,Web,Mac Desktop,Safari
a6z7dm6b43,2014-07-01,-unknown-,28,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
t9yt9ld19z,2014-07-01,-unknown-,39,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
lmpadt6m85,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,iPhone,Mobile Safari
j3supp5l5n,2014-07-01,-unknown-,,basic,en,sem-brand,bing,Web,Mac Desktop,Safari
7bt6wau8ri,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Windows Desktop,Chrome
es77rb716p,2014-07-01,-unknown-,35,basic,en,sem-brand,google,Web,Windows Desktop,Firefox
wqd6cvp4cu,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,iPad,Mobile Safari
1ixpfl8f83,2014-07-01,-unknown-,,basic,en,sem-brand,google,Web,Mac Desktop,Safari
