id,name,stage,galar_dex,exp_group,hatch_cycles,height,weight,color,description,hp,atk,def,spa,spd,spe,ev_hp,ev_atk,ev_def,ev_spa,ev_spd,ev_spe,ability1,ability2,ability3,type1,type2,item1_name,item1_chance,item2_name,item2_chance,item3_name,item3_chance,egg_group1,egg_group2,n_levelup_moves,n_egg_moves,n_tms,n_trs,n_evolutions
1,Bulbasaur,1,foreign,MediumSlow,20,0.7,6.9,Green,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.",45,49,49,65,65,45,0,0,0,1,0,0,Overgrow,Overgrow,Chlorophyll,Grass,Poison,,,,,,,Monster,Grass,15,6,19,13,1
2,Ivysaur,2,foreign,MediumSlow,20,1.0,13.0,Green,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,60,62,63,80,80,60,0,0,0,1,1,0,Overgrow,Overgrow,Chlorophyll,Grass,Poison,,,,,,,Monster,Grass,15,0,19,13,1
3,Venusaur,3,foreign,MediumSlow,20,2.0,100.0,Green,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.,80,82,83,100,100,80,0,0,0,2,1,0,Overgrow,Overgrow,Chlorophyll,Grass,Poison,,,,,,,Monster,Grass,18,0,23,16,0
4,Charmander,1,378,MediumSlow,20,0.6,8.5,Red,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",39,52,43,60,50,65,0,0,0,0,0,1,Blaze,Blaze,Solar Power,Fire,,,,,,,,Monster,Dragon,12,8,27,17,1
5,Charmeleon,2,379,MediumSlow,20,1.1,19.0,Red,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.",58,64,58,80,65,80,0,0,0,1,0,1,Blaze,Blaze,Solar Power,Fire,,,,,,,,Monster,Dragon,12,0,27,17,1
6,Charizard,3,380,MediumSlow,20,1.7,90.5,Red,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",78,84,78,109,85,100,0,0,0,3,0,0,Blaze,Blaze,Solar Power,Fire,Flying,,,,,,,Monster,Dragon,16,0,37,22,0
7,Squirtle,1,foreign,MediumSlow,20,0.5,9.0,Blue,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.",44,48,65,50,64,43,0,0,1,0,0,0,Torrent,Torrent,Rain Dish,Water,,,,,,,,Monster,Water1,14,10,22,18,1
8,Wartortle,2,foreign,MediumSlow,20,1.0,22.5,Blue,It cleverly controls its furry ears and tail to maintain its balance while swimming.,59,63,80,65,80,58,0,0,1,0,1,0,Torrent,Torrent,Rain Dish,Water,,,,,,,,Monster,Water1,14,0,22,18,1
9,Blastoise,3,foreign,MediumSlow,20,1.6,85.5,Blue,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,79,83,100,85,105,78,0,0,0,0,3,0,Torrent,Torrent,Rain Dish,Water,,,,,,,,Monster,Water1,16,0,27,26,0
10,Caterpie,1,13,MediumFast,15,0.3,2.9,Green,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,45,30,35,20,20,45,1,0,0,0,0,0,Shield Dust,Shield Dust,Run Away,Bug,,,,,,,,Bug,,3,0,1,0,1
11,Metapod,2,14,MediumFast,15,0.7,9.9,Green,"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack.",50,20,55,25,25,30,0,0,2,0,0,0,Shed Skin,Shed Skin,Shed Skin,Bug,,,,,,,,Bug,,2,0,1,1,1
12,Butterfree,3,15,MediumFast,15,1.1,32.0,White,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.,60,45,50,90,80,70,0,0,0,2,1,0,Compound Eyes,Compound Eyes,Tinted Lens,Bug,Flying,None,50.0,Silver Powder,5.0,None,1.0,Bug,,19,0,21,12,0
