id,date,type,workspace_id,total_cost_in_cents,total_paid_in_credits_in_cents
inv3602343558710,2017-01-13,initial,wks8780283383554,0,0
inv8298149918779,2017-01-19,initial,wks9401173858141,0,0
inv4391985687511,2017-01-21,initial,wks1161153771717,0,0
inv5725745101937,2017-01-21,initial,wks5803418559901,0,0
inv7526829190232,2017-01-27,initial,wks5530599113752,0,0
inv9236331440191,2017-01-28,initial,wks1444082826944,0,0
inv8818320164255,2017-02-10,renewal,wks8780283383554,2400,0
inv2805783966047,2017-02-11,initial,wks6193567078806,0,0
inv8264344662912,2017-02-16,renewal,wks9401173858141,2400,1200
inv8377534280797,2017-02-18,renewal,wks1161153771717,4800,2200
inv5855241481385,2017-02-18,renewal,wks5803418559901,2400,2400
inv7782380533651,2017-02-24,renewal,wks5530599113752,2400,2400
inv2952567839375,2017-02-25,final,wks1444082826944,2400,2400
inv5121406371976,2017-02-26,initial,wks9551906266768,0,0
inv7342599695262,2017-03-02,initial,wks8502300649628,0,0
inv2018937041522,2017-03-05,initial,wks1900402835637,0,0
inv8816957472945,2017-03-05,initial,wks9480096395792,0,0
inv5355166928442,2017-03-09,initial,wks801244421403,0,0
inv86078770307,2017-03-09,initial,wks1114101979001,0,0
inv4371459751262,2017-03-10,renewal,wks8780283383554,2400,0
inv5501185153739,2017-03-11,initial,wks3279006240064,0,0
inv2279665626654,2017-03-11,renewal,wks6193567078806,2400,1900
inv9530563232535,2017-03-16,renewal,wks9401173858141,3257,3000
inv4660943789413,2017-03-18,renewal,wks1161153771717,5828,0
inv2811081692796,2017-03-18,renewal,wks5803418559901,2400,2400
inv3172921627262,2017-03-22,initial,wks2035131763968,0,0
inv8576216466597,2017-03-24,renewal,wks5530599113752,2400,2400
inv3534047450525,2017-03-26,final,wks9551906266768,2400,1400
inv8264332423795,2017-03-30,initial,wks5139806381112,0,0
inv6844514504066,2017-03-30,renewal,wks8502300649628,2400,2400
inv4438347086259,2017-04-02,renewal,wks1900402835637,17914,0
inv8804552717104,2017-04-02,renewal,wks9480096395792,2400,2400
inv4774930020147,2017-04-03,initial,wks5081932709171,0,0
inv7633082788588,2017-04-05,initial,wks1392878891631,0,0
inv8325334623324,2017-04-06,renewal,wks801244421403,2400,900
inv6368183795187,2017-04-06,renewal,wks1114101979001,2400,2400
inv9334524089926,2017-04-07,initial,wks5999977484920,0,0
inv735571829880,2017-04-07,renewal,wks8780283383554,2400,0
inv6639178918448,2017-04-08,renewal,wks3279006240064,2400,1100
inv7561199492940,2017-04-08,renewal,wks6193567078806,2400,0
inv9755882706399,2017-04-10,initial,wks2625605786188,0,0
inv3596450835978,2017-04-13,initial,wks401816862489,0,0
inv7487430995971,2017-04-13,renewal,wks9401173858141,6685,0
inv3165296569020,2017-04-15,renewal,wks1161153771717,10285,0
inv6296703290498,2017-04-15,renewal,wks5803418559901,2400,2400
inv110747391666,2017-04-19,renewal,wks2035131763968,2400,2400
inv5219859816507,2017-04-21,renewal,wks5530599113752,2400,2400
inv2132383939174,2017-04-22,initial,wks6664451520496,0,0
inv1722750950262,2017-04-22,initial,wks7170022569253,0,0
inv1733594908869,2017-04-22,initial,wks592039131580,0,0
inv8251526281135,2017-04-27,renewal,wks5139806381112,2400,2400
inv2823162111139,2017-04-27,renewal,wks8502300649628,2400,2400
inv9234372646393,2017-04-29,initial,wks9537145926953,0,0
inv998360883131,2017-04-29,initial,wks2804950483255,0,0
inv6837484976291,2017-04-29,initial,wks1890802104204,0,0
inv6378890280050,2017-04-29,initial,wks1940920588704,0,0
inv4065984150013,2017-04-30,initial,wks3072492501179,0,0
inv962526779505,2017-04-30,renewal,wks1900402835637,16628,0
inv3863966950480,2017-04-30,renewal,wks9480096395792,2400,2400
inv9984701005111,2017-05-01,initial,wks7470092505034,0,0
inv4188766509387,2017-05-01,final,wks5081932709171,2400,2400
inv8597778013669,2017-05-03,initial,wks2862351320106,0,0
inv9956019206940,2017-05-03,renewal,wks1392878891631,2400,400
inv4759019401464,2017-05-04,initial,wks4578903836200,0,0
inv6827930517243,2017-05-04,renewal,wks801244421403,2400,1700
inv27321438889,2017-05-04,renewal,wks1114101979001,2742,2742
inv9543982645590,2017-05-05,renewal,wks5999977484920,2400,1900
inv907765532288,2017-05-05,renewal,wks8780283383554,4028,0
inv2888361911484,2017-05-06,final,wks3279006240064,2400,0
inv3294167554672,2017-05-06,renewal,wks6193567078806,4285,2900
inv4273871331606,2017-05-08,renewal,wks2625605786188,2400,2400
inv4333547020945,2017-05-11,initial,wks2652486515339,0,0
inv4306217544151,2017-05-11,renewal,wks401816862489,2400,400
inv6226807874564,2017-05-11,renewal,wks9401173858141,8828,0
inv4791993627131,2017-05-13,initial,wks8165060387715,0,0
inv140857392391,2017-05-13,renewal,wks1161153771717,12257,0
inv94115328040,2017-05-13,renewal,wks5803418559901,2400,2400
inv9155185248769,2017-05-14,initial,wks8623424522904,0,0
inv330934279908,2017-05-14,initial,wks5606040521847,0,0
inv3812666718462,2017-05-17,renewal,wks2035131763968,2400,2200
inv3318165211401,2017-05-19,renewal,wks5530599113752,2400,1500
inv5682989263202,2017-05-20,initial,wks2733082150514,0,0
inv8529706968848,2017-05-20,initial,wks6626395347928,0,0
inv4721419814437,2017-05-20,renewal,wks6664451520496,2400,2400
inv6267924385464,2017-05-20,renewal,wks7170022569253,7200,500
inv8629244335927,2017-05-20,renewal,wks592039131580,2400,2400
inv6735036343752,2017-05-25,renewal,wks5139806381112,2400,900
inv7718867512132,2017-05-25,renewal,wks8502300649628,2400,2400
inv3237633256559,2017-05-27,initial,wks959245693636,0,0
inv5065344929097,2017-05-27,renewal,wks9537145926953,2400,2400
inv5849505840770,2017-05-27,final,wks2804950483255,2400,2400
inv3632409739619,2017-05-27,final,wks1890802104204,2400,400
inv6340312380174,2017-05-27,renewal,wks1940920588704,2400,900
inv5085102642619,2017-05-28,initial,wks3090295933687,0,0
inv4112809494238,2017-05-28,initial,wks7437272324756,0,0
inv9632731578835,2017-05-28,renewal,wks3072492501179,2400,2400
inv726521259136,2017-05-28,renewal,wks1900402835637,18257,0
inv5246299545283,2017-05-28,renewal,wks9480096395792,2400,2400
inv2586093309678,2017-05-29,renewal,wks7470092505034,2400,1700
inv2518073006795,2017-05-31,renewal,wks2862351320106,14400,300
inv3198769167565,2017-05-31,renewal,wks1392878891631,2400,0
inv7310180677326,2017-06-01,initial,wks6210578030795,0,0
inv6424085720979,2017-06-01,renewal,wks4578903836200,2400,2400
inv3659048917522,2017-06-01,renewal,wks801244421403,2400,0
inv190876189773,2017-06-01,renewal,wks1114101979001,4800,1457
inv9532101785504,2017-06-02,initial,wks7017454166066,0,0
inv4192040221212,2017-06-02,initial,wks5176458298639,0,0
inv2137829869177,2017-06-02,final,wks5999977484920,2400,0
inv3800832062589,2017-06-02,renewal,wks8780283383554,8657,0
inv3928254388877,2017-06-03,initial,wks4144827035994,0,0
inv2123870865982,2017-06-03,renewal,wks6193567078806,5914,0
inv2297917955156,2017-06-04,initial,wks4156105314380,0,0
inv5193698879717,2017-06-05,renewal,wks2625605786188,3171,3171
inv9085323042650,2017-06-06,initial,wks6772046058566,0,0
inv2723089428604,2017-06-07,initial,wks4232724639029,0,0
inv6726161613598,2017-06-08,renewal,wks2652486515339,2400,2400
inv816430044304,2017-06-08,renewal,wks401816862489,2400,0
inv3729314525099,2017-06-08,renewal,wks9401173858141,11657,0
inv3808702663651,2017-06-09,initial,wks5458118618077,0,0
inv9670035170305,2017-06-09,initial,wks6917009352217,0,0
inv7819858903142,2017-06-09,initial,wks1848816090558,0,0
inv1407109068319,2017-06-10,initial,wks334039089582,0,0
inv1087890430789,2017-06-10,renewal,wks8165060387715,2400,2400
inv593167572014,2017-06-10,renewal,wks1161153771717,13371,0
inv4841559435396,2017-06-10,renewal,wks5803418559901,2400,2400
inv8176926307733,2017-06-11,initial,wks9654998462572,0,0
inv1124171322090,2017-06-11,renewal,wks8623424522904,2400,1200
inv1548290024478,2017-06-11,renewal,wks5606040521847,2400,2400
inv4942181892036,2017-06-14,initial,wks4299300119492,0,0
inv6148255003659,2017-06-14,initial,wks6070526021647,0,0
inv2930612736463,2017-06-14,renewal,wks2035131763968,2400,0
inv2741921747246,2017-06-16,initial,wks1988476585870,0,0
inv2549798323162,2017-06-16,renewal,wks5530599113752,2400,0
inv5372324397985,2017-06-17,initial,wks4022475127392,0,0
inv3045370646130,2017-06-17,renewal,wks2733082150514,2400,2400
inv8284965863707,2017-06-17,renewal,wks6626395347928,2400,1100
inv7397210780387,2017-06-17,renewal,wks6664451520496,2400,2400
inv459771632878,2017-06-17,final,wks7170022569253,11485,600
inv4831479417595,2017-06-17,renewal,wks592039131580,2400,2400
inv4598343631221,2017-06-20,initial,wks5885832878987,0,0
inv975518410648,2017-06-22,renewal,wks5139806381112,2400,0
inv4343812440905,2017-06-22,final,wks8502300649628,3171,3171
inv6262074386870,2017-06-23,initial,wks1852035030455,0,0
inv7984823331843,2017-06-24,renewal,wks959245693636,2400,2400
inv3650164009527,2017-06-24,renewal,wks9537145926953,2400,1100
inv7197620651337,2017-06-24,renewal,wks1940920588704,2400,700
inv4461817366314,2017-06-25,initial,wks5056918404143,0,0
inv798874728807,2017-06-25,initial,wks8207741034163,0,0
inv7144890957504,2017-06-25,initial,wks6943760822268,0,0
inv2488196643031,2017-06-25,renewal,wks3090295933687,2400,600
inv70820797606,2017-06-25,renewal,wks7437272324756,2400,1500
inv3056716678046,2017-06-25,renewal,wks3072492501179,2400,2400
inv3691723277412,2017-06-25,final,wks1900402835637,21085,0
inv8674778991957,2017-06-25,final,wks9480096395792,2400,2400
inv2317151573105,2017-06-26,renewal,wks7470092505034,2400,0
inv1840626456343,2017-06-27,initial,wks7032884493088,0,0
inv8942893429516,2017-06-28,renewal,wks2862351320106,13371,0
inv1735500421208,2017-06-28,renewal,wks1392878891631,2400,0
inv326314432026,2017-06-29,renewal,wks6210578030795,2400,2400
inv9926616753461,2017-06-29,renewal,wks4578903836200,2400,2400
inv6460632887318,2017-06-29,renewal,wks801244421403,2400,0
inv882459560506,2017-06-29,renewal,wks1114101979001,4800,0
inv6308278481053,2017-06-30,renewal,wks7017454166066,2400,2400
inv2107063541043,2017-06-30,renewal,wks5176458298639,2400,2400
inv9927150919904,2017-06-30,renewal,wks8780283383554,12342,0
inv6933702367819,2017-07-01,initial,wks1065915252593,0,0
inv8112977177670,2017-07-01,initial,wks4539800462904,0,0
inv8953822509450,2017-07-01,renewal,wks4144827035994,2400,2400
inv5011200654669,2017-07-01,renewal,wks6193567078806,3000,0
inv9224036088072,2017-07-02,initial,wks8809261348991,0,0
inv4814166075717,2017-07-02,renewal,wks4156105314380,2400,2400
inv4412809203978,2017-07-03,renewal,wks2625605786188,4800,2228
inv8663820702876,2017-07-04,renewal,wks6772046058566,2400,300
inv1876812264420,2017-07-05,renewal,wks4232724639029,2400,100
inv5143390806123,2017-07-06,renewal,wks2652486515339,2400,2400
inv6156816245162,2017-07-06,renewal,wks401816862489,2400,0
inv8848064848240,2017-07-06,renewal,wks9401173858141,16457,0
inv9062344671731,2017-07-07,renewal,wks5458118618077,2400,2400
inv1046909392768,2017-07-07,renewal,wks6917009352217,2400,2400
inv8024060452671,2017-07-07,renewal,wks1848816090558,2400,1600
inv6329350127615,2017-07-08,renewal,wks334039089582,2400,600
inv407525179776,2017-07-08,renewal,wks8165060387715,2400,2400
inv431607811073,2017-07-08,renewal,wks1161153771717,12257,0
inv5083608718948,2017-07-08,renewal,wks5803418559901,2400,2400
inv7132214044882,2017-07-09,initial,wks2759602283706,0,0
inv4001619539162,2017-07-09,renewal,wks9654998462572,2400,200
inv7672487914190,2017-07-09,renewal,wks8623424522904,2400,0
inv8365769177505,2017-07-09,renewal,wks5606040521847,6685,6685
inv1682129169023,2017-07-10,initial,wks2949711765675,0,0
inv513911841282,2017-07-11,initial,wks4448841104696,0,0
inv3877738649660,2017-07-12,renewal,wks4299300119492,2400,2100
inv4104241862773,2017-07-12,renewal,wks6070526021647,22628,100
inv655227334736,2017-07-12,renewal,wks2035131763968,2400,0
inv6633831258479,2017-07-13,initial,wks1973623517640,0,0
inv7503216396719,2017-07-14,renewal,wks1988476585870,2400,500
inv361408263276,2017-07-14,renewal,wks5530599113752,2400,1100
inv3657479261634,2017-07-15,renewal,wks4022475127392,3342,3342
inv4679086141877,2017-07-15,renewal,wks2733082150514,2400,900
inv5422516520904,2017-07-15,renewal,wks6626395347928,2400,0
inv895006962893,2017-07-15,renewal,wks6664451520496,2400,200
inv8005715673245,2017-07-15,final,wks592039131580,2400,2400
inv1763280789151,2017-07-18,renewal,wks5885832878987,2400,2400
inv4083456279943,2017-07-19,initial,wks7700851368869,0,0
inv2046115439153,2017-07-20,initial,wks8740234014633,0,0
inv5297952175331,2017-07-20,initial,wks8504289308679,0,0
inv7651585687987,2017-07-20,renewal,wks5139806381112,2400,0
inv9676770041254,2017-07-21,initial,wks615354373481,0,0
inv8336597924851,2017-07-21,initial,wks3522723413447,0,0
inv7544269045846,2017-07-21,renewal,wks1852035030455,2400,2400
inv3715386339002,2017-07-22,initial,wks6177611730942,0,0
inv9383507171618,2017-07-22,renewal,wks959245693636,6771,4900
inv5696365844646,2017-07-22,renewal,wks9537145926953,2400,0
inv2468263453954,2017-07-22,renewal,wks1940920588704,3342,0
inv5694520964582,2017-07-23,initial,wks5530146587774,0,0
inv9556737637946,2017-07-23,initial,wks1175118657062,0,0
inv2434430245439,2017-07-23,renewal,wks5056918404143,2400,2000
inv4874594935636,2017-07-23,renewal,wks8207741034163,2400,2400
inv8454738843723,2017-07-23,renewal,wks6943760822268,2400,2400
inv4466771792323,2017-07-23,final,wks3090295933687,2400,0
inv9457339650582,2017-07-23,renewal,wks7437272324756,2400,0
inv4945227788389,2017-07-23,renewal,wks3072492501179,2400,2400
inv9999577319963,2017-07-24,renewal,wks7470092505034,2400,0
inv9840451499724,2017-07-25,renewal,wks7032884493088,7200,5000
inv2067532663426,2017-07-26,renewal,wks2862351320106,12000,0
inv624963366389,2017-07-26,final,wks1392878891631,2400,0
inv7988272324474,2017-07-27,initial,wks8824058553037,0,0
inv8812743179743,2017-07-27,renewal,wks6210578030795,2400,2400
inv6143745282039,2017-07-27,renewal,wks4578903836200,3257,200
inv4538430551094,2017-07-27,renewal,wks801244421403,2400,0
inv7582013205973,2017-07-27,renewal,wks1114101979001,7028,0
inv6150401561743,2017-07-28,initial,wks996860142447,0,0
inv8007805805024,2017-07-28,renewal,wks7017454166066,2400,2400
inv9645042619807,2017-07-28,renewal,wks5176458298639,2400,500
inv1668834323652,2017-07-28,renewal,wks8780283383554,14400,0
inv203829154649,2017-07-29,renewal,wks1065915252593,6942,6942
inv1617255189828,2017-07-29,renewal,wks4539800462904,2400,2400
