fam,dad,mom,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,d1,d2,d3,d4,d5,d6,d7,d8,d9,n_children
1,18.5,7,13.2,*,*,*,*,*,*,*,*,*,9.2,9,9,*,*,*,*,*,*,4
2,15.5,6.5,13.5,12.5,*,*,*,*,*,*,*,*,5.5,5.5,*,*,*,*,*,*,*,4
3,15,4,11,*,*,*,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*,2
4,15,4,10.5,8.5,*,*,*,*,*,*,*,*,7,4.5,3,*,*,*,*,*,*,5
5,15,-1.5,12,9,8,*,*,*,*,*,*,*,6.5,2.5,2.5,*,*,*,*,*,*,6
6,14,8,*,*,*,*,*,*,*,*,*,*,9.5,*,*,*,*,*,*,*,*,1
7,14,8,16.5,14,13,13,*,*,*,*,*,*,10.5,4,*,*,*,*,*,*,*,6
8,14,6.5,*,*,*,*,*,*,*,*,*,*,10.5,8,6,*,*,*,*,*,*,3
9,14.5,6,*,*,*,*,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*,1
10,14,5.5,*,*,*,*,*,*,*,*,*,*,5.5,*,*,*,*,*,*,*,*,1
11,14,2,14,10,*,*,*,*,*,*,*,*,8,7,7,6,3.5,3,*,*,*,8
12,14,1,*,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*,1
13,13,7,11,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,2
14,13,7,8,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2
15,13,6.5,11,10.5,*,*,*,*,*,*,*,*,6.7,*,*,*,*,*,*,*,*,3
16,13,5,12,10.5,10.2,10.2,9.2,*,*,*,*,*,8.7,6.5,4.5,3.5,*,*,*,*,*,9
17,13,4.5,14,13,11.5,2.5,*,*,*,*,*,*,6.5,2.3,*,*,*,*,*,*,*,6
18,13,4,*,*,*,*,*,*,*,*,*,*,6,4.5,4,*,*,*,*,*,*,3
19,13.2,3,*,*,*,*,*,*,*,*,*,*,2.7,*,*,*,*,*,*,*,*,1
20,12.7,9,13.2,13,12.7,*,*,*,*,*,*,*,10,9,8.5,8,6,*,*,*,*,8
21,12,8,13,*,*,*,*,*,*,*,*,*,8.5,8,*,*,*,*,*,*,*,3
22,12,7,13,11,*,*,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*,3
23,12,5,14.2,10.5,9.5,*,*,*,*,*,*,*,6,5.5,5,5,*,*,*,*,*,7
24,12,5.5,*,*,*,*,*,*,*,*,*,*,5.5,*,*,*,*,*,*,*,*,1
25,12,4,*,*,*,*,*,*,*,*,*,*,6,3,*,*,*,*,*,*,*,2
26,12,3,10.5,10.5,9,*,*,*,*,*,*,*,5,3,*,*,*,*,*,*,*,5
27,12,3,9,7,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,3
28,12,3,13,7,*,*,*,*,*,*,*,*,10.5,10,6.5,3,*,*,*,*,*,6
29,12.5,3.5,*,*,*,*,*,*,*,*,*,*,7.5,7.2,6.7,*,*,*,*,*,*,3
30,12,2,*,*,*,*,*,*,*,*,*,*,4,*,*,*,*,*,*,*,*,1
31,12.5,2,11,10,10,*,*,*,*,*,*,*,6,5,5,*,*,*,*,*,*,6
32,12,2,14,12,9,*,*,*,*,*,*,*,7.5,3.5,*,*,*,*,*,*,*,5
33,12,2,12,11.5,11.5,10,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*,5
34,12,1,*,*,*,*,*,*,*,*,*,*,5.7,*,*,*,*,*,*,*,*,1
35,11,9,18,14,13,12,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*,5
36,11,7,13.2,13,9,*,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*,4
37,11,6,10,*,*,*,*,*,*,*,*,*,7,7,6.5,*,*,*,*,*,*,4
38,11,6,10,9,8.5,*,*,*,*,*,*,*,6,4.5,3,*,*,*,*,*,*,6
39,11,6,11,*,*,*,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*,2
40,11,6,16,12,11,6,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*,5
41,11.7,5.5,10.5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
42,11,5.5,12,12,11,9,*,*,*,*,*,*,6,5,*,*,*,*,*,*,*,6
43,11.5,5.5,13,*,*,*,*,*,*,*,*,*,5.2,*,*,*,*,*,*,*,*,2
44,11.5,5,8.5,7.7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2
45,11,5,8,8,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,3
46,11,4,*,*,*,*,*,*,*,*,*,*,8,8,7.5,6.5,6.5,6,5.5,5,*,8
47,11.7,4.5,12,11,10.5,*,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*,4
48,11,4,8,8,8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3
49,11.5,4.5,12,11,10,*,*,*,*,*,*,*,6,4.5,4.5,2,*,*,*,*,*,7
50,11,4.5,13,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,2
51,11.2,3,*,*,*,*,*,*,*,*,*,*,7.5,4.5,*,*,*,*,*,*,*,2
52,11,3.5,11,7,*,*,*,*,*,*,*,*,6,5,3.5,*,*,*,*,*,*,5
53,11,3,11,10,10,4,*,*,*,*,*,*,5,5,4,3,3,*,*,*,*,9
54,11,3,11,11,10,*,*,*,*,*,*,*,3.5,*,*,*,*,*,*,*,*,4
55,11,2,11,10,*,*,*,*,*,*,*,*,4.5,2.5,1.5,*,*,*,*,*,*,5
56,11,2,12,10.5,10.5,*,*,*,*,*,*,*,4.5,0,*,*,*,*,*,*,*,5
57,11,2.5,10,*,*,*,*,*,*,*,*,*,4,4,4,2.5,*,*,*,*,*,5
58,11,2,10.5,10,9,9,6,*,*,*,*,*,4.5,4,*,*,*,*,*,*,*,7
59,11,1,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,1
60,11,-2,11.5,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2
61,10,9,11,10,9,*,*,*,*,*,*,*,9,*,*,*,*,*,*,*,*,4
62,10,9,10,8.7,*,*,*,*,*,*,*,*,8,6,4,2,*,*,*,*,*,6
63,10,8,15,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
64,10,7,10,9,*,*,*,*,*,*,*,*,6,4,0,*,*,*,*,*,*,5
65,10,7,*,*,*,*,*,*,*,*,*,*,7.5,*,*,*,*,*,*,*,*,1
66,10,6.5,13,12,12,6.5,*,*,*,*,*,*,9.2,7.2,6.5,6,6,4.2,3.7,*,*,11
67,10.5,5,12,10.2,9,8.5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4
68,10.5,5,*,*,*,*,*,*,*,*,*,*,8,5,1.5,1,1,*,*,*,*,5
69,10,5,13,12,10.5,5,5,*,*,*,*,*,4.5,3,2,*,*,*,*,*,*,8
70,10,5,7,5,*,*,*,*,*,*,*,*,tall,4.5,2.5,2.5,*,*,*,*,*,5
71,10,5,10,10,*,*,*,*,*,*,*,*,7,5,5,3,*,*,*,*,*,6
72,10,5,19,15,11,*,*,*,*,*,*,*,9,7,5.7,2,*,*,*,*,*,7
73,10,5,13,12.5,*,*,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*,3
74,10,5,9,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2
75,10,4.7,12,10,8.7,*,*,*,*,*,*,*,6.5,5.5,4.7,4.5,*,*,*,*,*,7
76,10,4,10.7,10,8,medium,7,6,5,*,*,*,7,medium,*,*,*,*,*,*,*,7
77,10,4,10,8,6.7,*,*,*,*,*,*,*,5.5,*,*,*,*,*,*,*,*,4
78,10,4.2,12,10,*,*,*,*,*,*,*,*,2.5,1.2,0.1,*,*,*,*,*,*,5
79,10.5,4,14,9.5,9,8,8,8,*,*,*,*,5.5,5,*,*,*,*,*,*,*,8
80,10.5,4.5,*,*,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*,1
81,10,4,8,*,*,*,*,*,*,*,*,*,5,4,2,*,*,*,*,*,*,4
82,10,4,11,10,10,10,9.5,8.5,*,*,*,*,9,5,4,*,*,*,*,*,*,9
83,10,3.7,10,7,5.5,*,*,*,*,*,*,*,3.7,3.2,2.5,2.2,1,*,*,*,*,8
84,10.5,3,10,8.5,*,*,*,*,*,*,*,*,5.5,3.5,*,*,*,*,*,*,*,4
85,10.5,3,12.5,9,7,*,*,*,*,*,*,*,4.5,4,*,*,*,*,*,*,*,5
86,10,3.5,11,7.5,*,*,*,*,*,*,*,*,7.5,3.5,*,*,*,*,*,*,*,4
87,10,3,8,7,*,*,*,*,*,*,*,*,3.7,2,*,*,*,*,*,*,*,4
88,10,3,10,6.5,*,*,*,*,*,*,*,*,2,1,*,*,*,*,*,*,*,4
89,10.5,2,12,10,9.5,9.5,8,*,*,*,*,*,5,4,3,*,*,*,*,*,*,8
90,10.3,2.7,10.7,9.7,9.2,5.2,*,*,*,*,*,*,4,3.5,3.2,*,*,*,*,*,*,7
91,10.5,2,12,12,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*,3
92,10,1,11.2,7,*,*,*,*,*,*,*,*,tall,*,*,*,*,*,*,*,*,2
93,10,0,7,4.5,*,*,*,*,*,*,*,*,5,3,*,*,*,*,*,*,*,4
94,10,0,*,*,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*,*,*,2
95,10,-1.5,11.5,4.5,*,*,*,*,*,*,*,*,3,deformed,*,*,*,*,*,*,*,3
96,10,-2,12,6,*,*,*,*,*,*,*,*,6,5,3,*,*,*,*,*,*,5
97,9,8.5,15,11,10,*,*,*,*,*,*,*,6,6,5.5,5,5,4,4,*,*,10
98,9,7,*,*,*,*,*,*,*,*,*,*,4,*,*,*,*,*,*,*,*,1
99,9,6,13,12,11.7,11.5,*,*,*,*,*,*,5.5,5,2.7,2.5,*,*,*,*,*,8
100,9,6,11.2,11,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3
101,9,6.7,15,14,12,8.5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4
102,9,6,10,8.5,8,*,*,*,*,*,*,*,5,3,2.5,*,*,*,*,*,*,6
103,9,6.5,13,11,10.5,10.5,7,6,*,*,*,*,1,*,*,*,*,*,*,*,*,7
104,9.5,6.5,10.5,7.5,*,*,*,*,*,*,*,*,4.5,4,*,*,*,*,*,*,*,4
105,9,6.5,11,*,*,*,*,*,*,*,*,*,8.5,7.5,6,3,3,*,*,*,*,6
106,9.5,6,11,11,10.5,10.5,*,*,*,*,*,*,6.5,5.5,4.5,*,*,*,*,*,*,7
107,9,6,13,12,9,9,*,*,*,*,*,*,6.5,5.5,5.5,5,4,*,*,*,*,9
108,9,5,10,8.5,7,*,*,*,*,*,*,*,5,4,3.5,1,*,*,*,*,*,7
109,9.5,4.5,9.7,8,0,*,*,*,*,*,*,*,5.2,4.5,3.7,0,*,*,*,*,*,7
110,9.2,4,11.7,6.5,*,*,*,*,*,*,*,*,5,3.5,*,*,*,*,*,*,*,4
111,9,3.5,*,*,*,*,*,*,*,*,*,*,5.5,*,*,*,*,*,*,*,*,1
112,9,3,9,*,*,*,*,*,*,*,*,*,7.5,3.5,*,*,*,*,*,*,*,3
113,9,3,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
114,9,3,13,10,10,4,*,*,*,*,*,*,6,2,*,*,*,*,*,*,*,6
115,9,3.5,10.5,7,6,*,*,*,*,*,*,*,5,3,2,1,*,*,*,*,*,7
116,9,3.5,10.5,*,*,*,*,*,*,*,*,*,3.7,3,*,*,*,*,*,*,*,3
117,9.7,2,*,*,*,*,*,*,*,*,*,*,2.5,*,*,*,*,*,*,*,*,1
118,9.5,2,13,12,9,tallish,*,*,*,*,*,*,tallish,tallish,med.,med.,shortish,*,*,*,*,9
119,9,2,13,11,11,9,*,*,*,*,*,*,tall,tall,medium,3,*,*,*,*,*,6
120,9.5,2,13,12,9,tallish,*,*,*,*,*,*,5.2,4.7,4.5,3.5,2.5,2,1.5,*,*,11
121,9,2.5,11,10,10,9,*,*,*,*,*,*,3.5,2.5,2.5,2,*,*,*,*,*,8
122,9,2,12,8,*,*,*,*,*,*,*,*,6,6,*,*,*,*,*,*,*,4
123,9.5,1,10,9.5,9,*,*,*,*,*,*,*,3,2,*,*,*,*,*,*,*,5
124,9,1,8,8,7.5,4,3,3,*,*,*,*,3.5,2,2,*,*,*,*,*,*,9
125,9,0,10.5,*,*,*,*,*,*,*,*,*,8,2.5,*,*,*,*,*,*,*,3
126,9,0,9,6,*,*,*,*,*,*,*,*,1.7,0.5,*,*,*,*,*,*,*,4
127,9,0.5,9.5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
128,8.7,10.5,11,*,*,*,*,*,*,*,*,*,1.7,*,*,*,*,*,*,*,*,2
129,8.5,7,13,11,*,*,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*,3
130,8.5,6.5,10,9,9,8.7,8.5,8.5,8,8,8,6.2,3.2,*,*,*,*,*,*,*,*,11
131,8,5,7.5,6,*,*,*,*,*,*,*,*,medium,short,short,*,*,*,*,*,*,2
132,8,5.5,6,*,*,*,*,*,*,*,*,*,4,*,*,*,*,*,*,*,*,2
133,8,5.5,11.7,11.5,10.7,5.5,*,*,*,*,*,*,6.5,5.2,1.5,*,*,*,*,*,*,7
134,8,5,12,12,*,*,*,*,*,*,*,*,8,6,*,*,*,*,*,*,*,4
135,8.5,5,9.2,8,6,6,*,*,*,*,*,*,2,1.5,1,0,*,*,*,*,*,8
