fam,dad,mom,n_children,hdiff,child_gender,dad_h,mom_h,child_h,child_minus_dad,child_minus_mom
1,18.5,7.0,4,9.2,female,78.5,67.0,69.2,-9.3,2.2
1,18.5,7.0,4,9.0,female,78.5,67.0,69.0,-9.5,2.0
1,18.5,7.0,4,9.0,female,78.5,67.0,69.0,-9.5,2.0
1,18.5,7.0,4,13.2,male,78.5,67.0,73.2,-5.3,6.2
10,14.0,5.5,1,5.5,female,74.0,65.5,65.5,-8.5,0.0
100,9.0,6.0,3,11.2,male,69.0,66.0,71.2,2.2,5.2
100,9.0,6.0,3,11.0,male,69.0,66.0,71.0,2.0,5.0
100,9.0,6.0,3,10.0,male,69.0,66.0,70.0,1.0,4.0
101,9.0,6.7,4,15.0,male,69.0,66.7,75.0,6.0,8.3
101,9.0,6.7,4,14.0,male,69.0,66.7,74.0,5.0,7.3
101,9.0,6.7,4,12.0,male,69.0,66.7,72.0,3.0,5.3
101,9.0,6.7,4,8.5,male,69.0,66.7,68.5,-0.5,1.8
102,9.0,6.0,6,5.0,female,69.0,66.0,65.0,-4.0,-1.0
102,9.0,6.0,6,3.0,female,69.0,66.0,63.0,-6.0,-3.0
102,9.0,6.0,6,2.5,female,69.0,66.0,62.5,-6.5,-3.5
102,9.0,6.0,6,10.0,male,69.0,66.0,70.0,1.0,4.0
102,9.0,6.0,6,8.5,male,69.0,66.0,68.5,-0.5,2.5
102,9.0,6.0,6,8.0,male,69.0,66.0,68.0,-1.0,2.0
103,9.0,6.5,7,1.0,female,69.0,66.5,61.0,-8.0,-5.5
103,9.0,6.5,7,13.0,male,69.0,66.5,73.0,4.0,6.5
103,9.0,6.5,7,11.0,male,69.0,66.5,71.0,2.0,4.5
103,9.0,6.5,7,10.5,male,69.0,66.5,70.5,1.5,4.0
103,9.0,6.5,7,10.5,male,69.0,66.5,70.5,1.5,4.0
103,9.0,6.5,7,7.0,male,69.0,66.5,67.0,-2.0,0.5
103,9.0,6.5,7,6.0,male,69.0,66.5,66.0,-3.0,-0.5
104,9.5,6.5,4,4.5,female,69.5,66.5,64.5,-5.0,-2.0
104,9.5,6.5,4,4.0,female,69.5,66.5,64.0,-5.5,-2.5
104,9.5,6.5,4,10.5,male,69.5,66.5,70.5,1.0,4.0
104,9.5,6.5,4,7.5,male,69.5,66.5,67.5,-2.0,1.0
105,9.0,6.5,6,8.5,female,69.0,66.5,68.5,-0.5,2.0
105,9.0,6.5,6,7.5,female,69.0,66.5,67.5,-1.5,1.0
105,9.0,6.5,6,6.0,female,69.0,66.5,66.0,-3.0,-0.5
105,9.0,6.5,6,3.0,female,69.0,66.5,63.0,-6.0,-3.5
105,9.0,6.5,6,3.0,female,69.0,66.5,63.0,-6.0,-3.5
105,9.0,6.5,6,11.0,male,69.0,66.5,71.0,2.0,4.5
106,9.5,6.0,7,6.5,female,69.5,66.0,66.5,-3.0,0.5
106,9.5,6.0,7,5.5,female,69.5,66.0,65.5,-4.0,-0.5
106,9.5,6.0,7,4.5,female,69.5,66.0,64.5,-5.0,-1.5
106,9.5,6.0,7,11.0,male,69.5,66.0,71.0,1.5,5.0
106,9.5,6.0,7,11.0,male,69.5,66.0,71.0,1.5,5.0
106,9.5,6.0,7,10.5,male,69.5,66.0,70.5,1.0,4.5
106,9.5,6.0,7,10.5,male,69.5,66.0,70.5,1.0,4.5
107,9.0,6.0,9,6.5,female,69.0,66.0,66.5,-2.5,0.5
107,9.0,6.0,9,5.5,female,69.0,66.0,65.5,-3.5,-0.5
107,9.0,6.0,9,5.5,female,69.0,66.0,65.5,-3.5,-0.5
107,9.0,6.0,9,5.0,female,69.0,66.0,65.0,-4.0,-1.0
107,9.0,6.0,9,4.0,female,69.0,66.0,64.0,-5.0,-2.0
107,9.0,6.0,9,13.0,male,69.0,66.0,73.0,4.0,7.0
107,9.0,6.0,9,12.0,male,69.0,66.0,72.0,3.0,6.0
107,9.0,6.0,9,9.0,male,69.0,66.0,69.0,0.0,3.0
107,9.0,6.0,9,9.0,male,69.0,66.0,69.0,0.0,3.0
108,9.0,5.0,7,5.0,female,69.0,65.0,65.0,-4.0,0.0
108,9.0,5.0,7,4.0,female,69.0,65.0,64.0,-5.0,-1.0
108,9.0,5.0,7,3.5,female,69.0,65.0,63.5,-5.5,-1.5
108,9.0,5.0,7,1.0,female,69.0,65.0,61.0,-8.0,-4.0
108,9.0,5.0,7,10.0,male,69.0,65.0,70.0,1.0,5.0
108,9.0,5.0,7,8.5,male,69.0,65.0,68.5,-0.5,3.5
108,9.0,5.0,7,7.0,male,69.0,65.0,67.0,-2.0,2.0
109,9.5,4.5,7,5.2,female,69.5,64.5,65.2,-4.3,0.7
109,9.5,4.5,7,4.5,female,69.5,64.5,64.5,-5.0,0.0
109,9.5,4.5,7,3.7,female,69.5,64.5,63.7,-5.8,-0.8
109,9.5,4.5,7,0.0,female,69.5,64.5,60.0,-9.5,-4.5
109,9.5,4.5,7,9.7,male,69.5,64.5,69.7,0.2,5.2
109,9.5,4.5,7,8.0,male,69.5,64.5,68.0,-1.5,3.5
109,9.5,4.5,7,0.0,male,69.5,64.5,60.0,-9.5,-4.5
11,14.0,2.0,8,8.0,female,74.0,62.0,68.0,-6.0,6.0
11,14.0,2.0,8,7.0,female,74.0,62.0,67.0,-7.0,5.0
11,14.0,2.0,8,7.0,female,74.0,62.0,67.0,-7.0,5.0
11,14.0,2.0,8,6.0,female,74.0,62.0,66.0,-8.0,4.0
11,14.0,2.0,8,3.5,female,74.0,62.0,63.5,-10.5,1.5
11,14.0,2.0,8,3.0,female,74.0,62.0,63.0,-11.0,1.0
11,14.0,2.0,8,14.0,male,74.0,62.0,74.0,0.0,12.0
11,14.0,2.0,8,10.0,male,74.0,62.0,70.0,-4.0,8.0
110,9.2,4.0,4,5.0,female,69.2,64.0,65.0,-4.2,1.0
110,9.2,4.0,4,3.5,female,69.2,64.0,63.5,-5.7,-0.5
110,9.2,4.0,4,11.7,male,69.2,64.0,71.7,2.5,7.7
110,9.2,4.0,4,6.5,male,69.2,64.0,66.5,-2.7,2.5
111,9.0,3.5,1,5.5,female,69.0,63.5,65.5,-3.5,2.0
112,9.0,3.0,3,7.5,female,69.0,63.0,67.5,-1.5,4.5
112,9.0,3.0,3,3.5,female,69.0,63.0,63.5,-5.5,0.5
112,9.0,3.0,3,9.0,male,69.0,63.0,69.0,0.0,6.0
113,9.0,3.0,1,12.0,male,69.0,63.0,72.0,3.0,9.0
114,9.0,3.0,6,6.0,female,69.0,63.0,66.0,-3.0,3.0
114,9.0,3.0,6,2.0,female,69.0,63.0,62.0,-7.0,-1.0
114,9.0,3.0,6,13.0,male,69.0,63.0,73.0,4.0,10.0
114,9.0,3.0,6,10.0,male,69.0,63.0,70.0,1.0,7.0
114,9.0,3.0,6,10.0,male,69.0,63.0,70.0,1.0,7.0
114,9.0,3.0,6,4.0,male,69.0,63.0,64.0,-5.0,1.0
115,9.0,3.5,7,5.0,female,69.0,63.5,65.0,-4.0,1.5
115,9.0,3.5,7,3.0,female,69.0,63.5,63.0,-6.0,-0.5
115,9.0,3.5,7,2.0,female,69.0,63.5,62.0,-7.0,-1.5
115,9.0,3.5,7,1.0,female,69.0,63.5,61.0,-8.0,-2.5
115,9.0,3.5,7,10.5,male,69.0,63.5,70.5,1.5,7.0
115,9.0,3.5,7,7.0,male,69.0,63.5,67.0,-2.0,3.5
115,9.0,3.5,7,6.0,male,69.0,63.5,66.0,-3.0,2.5
116,9.0,3.5,3,3.7,female,69.0,63.5,63.7,-5.3,0.2
116,9.0,3.5,3,3.0,female,69.0,63.5,63.0,-6.0,-0.5
116,9.0,3.5,3,10.5,male,69.0,63.5,70.5,1.5,7.0
117,9.7,2.0,1,2.5,female,69.7,62.0,62.5,-7.2,0.5
118,9.5,2.0,9,9.0,female,69.5,62.0,69.0,-0.5,7.0
118,9.5,2.0,9,9.0,female,69.5,62.0,69.0,-0.5,7.0
118,9.5,2.0,9,6.0,female,69.5,62.0,66.0,-3.5,4.0
118,9.5,2.0,9,6.0,female,69.5,62.0,66.0,-3.5,4.0
118,9.5,2.0,9,3.0,female,69.5,62.0,63.0,-6.5,1.0
118,9.5,2.0,9,13.0,male,69.5,62.0,73.0,3.5,11.0
118,9.5,2.0,9,12.0,male,69.5,62.0,72.0,2.5,10.0
118,9.5,2.0,9,9.0,male,69.5,62.0,69.0,-0.5,7.0
118,9.5,2.0,9,9.0,male,69.5,62.0,69.0,-0.5,7.0
119,9.0,2.0,6,12.0,female,69.0,62.0,72.0,3.0,10.0
119,9.0,2.0,6,12.0,female,69.0,62.0,72.0,3.0,10.0
119,9.0,2.0,6,6.0,female,69.0,62.0,66.0,-3.0,4.0
119,9.0,2.0,6,3.0,female,69.0,62.0,63.0,-6.0,1.0
119,9.0,2.0,6,13.0,male,69.0,62.0,73.0,4.0,11.0
119,9.0,2.0,6,11.0,male,69.0,62.0,71.0,2.0,9.0
119,9.0,2.0,6,11.0,male,69.0,62.0,71.0,2.0,9.0
119,9.0,2.0,6,9.0,male,69.0,62.0,69.0,0.0,7.0
12,14.0,1.0,1,5.0,female,74.0,61.0,65.0,-9.0,4.0
120,9.5,2.0,11,5.2,female,69.5,62.0,65.2,-4.3,3.2
120,9.5,2.0,11,4.7,female,69.5,62.0,64.7,-4.8,2.7
120,9.5,2.0,11,4.5,female,69.5,62.0,64.5,-5.0,2.5
120,9.5,2.0,11,3.5,female,69.5,62.0,63.5,-6.0,1.5
120,9.5,2.0,11,2.5,female,69.5,62.0,62.5,-7.0,0.5
120,9.5,2.0,11,2.0,female,69.5,62.0,62.0,-7.5,0.0
120,9.5,2.0,11,1.5,female,69.5,62.0,61.5,-8.0,-0.5
120,9.5,2.0,11,13.0,male,69.5,62.0,73.0,3.5,11.0
120,9.5,2.0,11,12.0,male,69.5,62.0,72.0,2.5,10.0
120,9.5,2.0,11,9.0,male,69.5,62.0,69.0,-0.5,7.0
120,9.5,2.0,11,9.0,male,69.5,62.0,69.0,-0.5,7.0
121,9.0,2.5,8,3.5,female,69.0,62.5,63.5,-5.5,1.0
121,9.0,2.5,8,2.5,female,69.0,62.5,62.5,-6.5,0.0
121,9.0,2.5,8,2.5,female,69.0,62.5,62.5,-6.5,0.0
121,9.0,2.5,8,2.0,female,69.0,62.5,62.0,-7.0,-0.5
121,9.0,2.5,8,11.0,male,69.0,62.5,71.0,2.0,8.5
121,9.0,2.5,8,10.0,male,69.0,62.5,70.0,1.0,7.5
121,9.0,2.5,8,10.0,male,69.0,62.5,70.0,1.0,7.5
121,9.0,2.5,8,9.0,male,69.0,62.5,69.0,0.0,6.5
122,9.0,2.0,4,6.0,female,69.0,62.0,66.0,-3.0,4.0
122,9.0,2.0,4,6.0,female,69.0,62.0,66.0,-3.0,4.0
122,9.0,2.0,4,12.0,male,69.0,62.0,72.0,3.0,10.0
122,9.0,2.0,4,8.0,male,69.0,62.0,68.0,-1.0,6.0
123,9.5,1.0,5,3.0,female,69.5,61.0,63.0,-6.5,2.0
123,9.5,1.0,5,2.0,female,69.5,61.0,62.0,-7.5,1.0
123,9.5,1.0,5,10.0,male,69.5,61.0,70.0,0.5,9.0
123,9.5,1.0,5,9.5,male,69.5,61.0,69.5,0.0,8.5
123,9.5,1.0,5,9.0,male,69.5,61.0,69.0,-0.5,8.0
124,9.0,1.0,9,3.5,female,69.0,61.0,63.5,-5.5,2.5
124,9.0,1.0,9,2.0,female,69.0,61.0,62.0,-7.0,1.0
124,9.0,1.0,9,2.0,female,69.0,61.0,62.0,-7.0,1.0
124,9.0,1.0,9,8.0,male,69.0,61.0,68.0,-1.0,7.0
124,9.0,1.0,9,8.0,male,69.0,61.0,68.0,-1.0,7.0
124,9.0,1.0,9,7.5,male,69.0,61.0,67.5,-1.5,6.5
124,9.0,1.0,9,4.0,male,69.0,61.0,64.0,-5.0,3.0
124,9.0,1.0,9,3.0,male,69.0,61.0,63.0,-6.0,2.0
124,9.0,1.0,9,3.0,male,69.0,61.0,63.0,-6.0,2.0
125,9.0,0.0,3,8.0,female,69.0,60.0,68.0,-1.0,8.0
125,9.0,0.0,3,2.5,female,69.0,60.0,62.5,-6.5,2.5
125,9.0,0.0,3,10.5,male,69.0,60.0,70.5,1.5,10.5
126,9.0,0.0,4,1.7,female,69.0,60.0,61.7,-7.3,1.7
126,9.0,0.0,4,0.5,female,69.0,60.0,60.5,-8.5,0.5
126,9.0,0.0,4,9.0,male,69.0,60.0,69.0,0.0,9.0
126,9.0,0.0,4,6.0,male,69.0,60.0,66.0,-3.0,6.0
127,9.0,0.5,1,9.5,male,69.0,60.5,69.5,0.5,9.0
128,8.7,10.5,2,1.7,female,68.7,70.5,61.7,-7.0,-8.8
128,8.7,10.5,2,11.0,male,68.7,70.5,71.0,2.3,0.5
129,8.5,7.0,3,7.0,female,68.5,67.0,67.0,-1.5,0.0
129,8.5,7.0,3,13.0,male,68.5,67.0,73.0,4.5,6.0
129,8.5,7.0,3,11.0,male,68.5,67.0,71.0,2.5,4.0
13,13.0,7.0,2,2.0,female,73.0,67.0,62.0,-11.0,-5.0
13,13.0,7.0,2,11.0,male,73.0,67.0,71.0,-2.0,4.0
130,8.5,6.5,11,3.2,female,68.5,66.5,63.2,-5.3,-3.3
130,8.5,6.5,11,10.0,male,68.5,66.5,70.0,1.5,3.5
130,8.5,6.5,11,9.0,male,68.5,66.5,69.0,0.5,2.5
130,8.5,6.5,11,9.0,male,68.5,66.5,69.0,0.5,2.5
130,8.5,6.5,11,8.7,male,68.5,66.5,68.7,0.2,2.2
130,8.5,6.5,11,8.5,male,68.5,66.5,68.5,0.0,2.0
130,8.5,6.5,11,8.5,male,68.5,66.5,68.5,0.0,2.0
130,8.5,6.5,11,8.0,male,68.5,66.5,68.0,-0.5,1.5
130,8.5,6.5,11,8.0,male,68.5,66.5,68.0,-0.5,1.5
130,8.5,6.5,11,8.0,male,68.5,66.5,68.0,-0.5,1.5
130,8.5,6.5,11,6.2,male,68.5,66.5,66.2,-2.3,-0.3
131,8.0,5.0,2,6.0,female,68.0,65.0,66.0,-2.0,1.0
131,8.0,5.0,2,0.0,female,68.0,65.0,60.0,-8.0,-5.0
131,8.0,5.0,2,0.0,female,68.0,65.0,60.0,-8.0,-5.0
131,8.0,5.0,2,7.5,male,68.0,65.0,67.5,-0.5,2.5
131,8.0,5.0,2,6.0,male,68.0,65.0,66.0,-2.0,1.0
132,8.0,5.5,2,4.0,female,68.0,65.5,64.0,-4.0,-1.5
132,8.0,5.5,2,6.0,male,68.0,65.5,66.0,-2.0,0.5
133,8.0,5.5,7,6.5,female,68.0,65.5,66.5,-1.5,1.0
133,8.0,5.5,7,5.2,female,68.0,65.5,65.2,-2.8,-0.3
133,8.0,5.5,7,1.5,female,68.0,65.5,61.5,-6.5,-4.0
133,8.0,5.5,7,11.7,male,68.0,65.5,71.7,3.7,6.2
133,8.0,5.5,7,11.5,male,68.0,65.5,71.5,3.5,6.0
133,8.0,5.5,7,10.7,male,68.0,65.5,70.7,2.7,5.2
133,8.0,5.5,7,5.5,male,68.0,65.5,65.5,-2.5,0.0
134,8.0,5.0,4,8.0,female,68.0,65.0,68.0,0.0,3.0
134,8.0,5.0,4,6.0,female,68.0,65.0,66.0,-2.0,1.0
134,8.0,5.0,4,12.0,male,68.0,65.0,72.0,4.0,7.0
134,8.0,5.0,4,12.0,male,68.0,65.0,72.0,4.0,7.0
135,8.5,5.0,8,2.0,female,68.5,65.0,62.0,-6.5,-3.0
135,8.5,5.0,8,1.5,female,68.5,65.0,61.5,-7.0,-3.5
135,8.5,5.0,8,1.0,female,68.5,65.0,61.0,-7.5,-4.0
135,8.5,5.0,8,0.0,female,68.5,65.0,60.0,-8.5,-5.0
135,8.5,5.0,8,9.2,male,68.5,65.0,69.2,0.7,4.2
135,8.5,5.0,8,8.0,male,68.5,65.0,68.0,-0.5,3.0
135,8.5,5.0,8,6.0,male,68.5,65.0,66.0,-2.5,1.0
135,8.5,5.0,8,6.0,male,68.5,65.0,66.0,-2.5,1.0
136,8.0,4.0,10,5.0,female,68.0,64.0,65.0,-3.0,1.0
136,8.0,4.0,10,4.0,female,68.0,64.0,64.0,-4.0,0.0
136,8.0,4.0,10,3.0,female,68.0,64.0,63.0,-5.0,-1.0
136,8.0,4.0,10,3.0,female,68.0,64.0,63.0,-5.0,-1.0
136,8.0,4.0,10,2.0,female,68.0,64.0,62.0,-6.0,-2.0
136,8.0,4.0,10,1.0,female,68.0,64.0,61.0,-7.0,-3.0
136,8.0,4.0,10,11.0,male,68.0,64.0,71.0,3.0,7.0
136,8.0,4.0,10,8.0,male,68.0,64.0,68.0,0.0,4.0
136,8.0,4.0,10,8.0,male,68.0,64.0,68.0,0.0,4.0
136,8.0,4.0,10,7.0,male,68.0,64.0,67.0,-1.0,3.0
136A,8.5,5.0,8,4.0,female,68.5,65.0,64.0,-4.5,-1.0
136A,8.5,5.0,8,3.5,female,68.5,65.0,63.5,-5.0,-1.5
136A,8.5,5.0,8,3.0,female,68.5,65.0,63.0,-5.5,-2.0
136A,8.5,5.0,8,12.0,male,68.5,65.0,72.0,3.5,7.0
136A,8.5,5.0,8,10.5,male,68.5,65.0,70.5,2.0,5.5
136A,8.5,5.0,8,8.7,male,68.5,65.0,68.7,0.2,3.7
136A,8.5,5.0,8,8.5,male,68.5,65.0,68.5,0.0,3.5
136A,8.5,5.0,8,7.7,male,68.5,65.0,67.7,-0.8,2.7
137,8.0,4.0,4,5.5,female,68.0,64.0,65.5,-2.5,1.5
137,8.0,4.0,4,2.0,female,68.0,64.0,62.0,-6.0,-2.0
137,8.0,4.0,4,6.0,male,68.0,64.0,66.0,-2.0,2.0
137,8.0,4.0,4,3.0,male,68.0,64.0,63.0,-5.0,-1.0
138,8.0,4.0,5,2.5,female,68.0,64.0,62.5,-5.5,-1.5
138,8.0,4.0,5,11.2,male,68.0,64.0,71.2,3.2,7.2
138,8.0,4.0,5,11.2,male,68.0,64.0,71.2,3.2,7.2
138,8.0,4.0,5,9.0,male,68.0,64.0,69.0,1.0,5.0
138,8.0,4.0,5,8.5,male,68.0,64.0,68.5,0.5,4.5
139,8.0,4.5,1,2.0,female,68.0,64.5,62.0,-6.0,-2.5
14,13.0,7.0,2,8.0,male,73.0,67.0,68.0,-5.0,1.0
14,13.0,7.0,2,7.0,male,73.0,67.0,67.0,-6.0,0.0
140,8.0,4.0,10,6.0,female,68.0,64.0,66.0,-2.0,2.0
140,8.0,4.0,10,6.0,female,68.0,64.0,66.0,-2.0,2.0
140,8.0,4.0,10,5.0,female,68.0,64.0,65.0,-3.0,1.0
140,8.0,4.0,10,5.0,female,68.0,64.0,65.0,-3.0,1.0
140,8.0,4.0,10,5.0,female,68.0,64.0,65.0,-3.0,1.0
140,8.0,4.0,10,4.0,female,68.0,64.0,64.0,-4.0,0.0
140,8.0,4.0,10,3.0,female,68.0,64.0,63.0,-5.0,-1.0
140,8.0,4.0,10,9.0,male,68.0,64.0,69.0,1.0,5.0
140,8.0,4.0,10,7.0,male,68.0,64.0,67.0,-1.0,3.0
140,8.0,4.0,10,6.0,male,68.0,64.0,66.0,-2.0,2.0
141,8.0,3.0,8,6.0,female,68.0,63.0,66.0,-2.0,3.0
141,8.0,3.0,8,2.0,female,68.0,63.0,62.0,-6.0,-1.0
141,8.0,3.0,8,1.5,female,68.0,63.0,61.5,-6.5,-1.5
141,8.0,3.0,8,10.5,male,68.0,63.0,70.5,2.5,7.5
141,8.0,3.0,8,10.0,male,68.0,63.0,70.0,2.0,7.0
141,8.0,3.0,8,8.0,male,68.0,63.0,68.0,0.0,5.0
141,8.0,3.0,8,6.0,male,68.0,63.0,66.0,-2.0,3.0
141,8.0,3.0,8,6.0,male,68.0,63.0,66.0,-2.0,3.0
142,8.5,3.5,4,5.5,female,68.5,63.5,65.5,-3.0,2.0
142,8.5,3.5,4,13.5,male,68.5,63.5,73.5,5.0,10.0
142,8.5,3.5,4,10.0,male,68.5,63.5,70.0,1.5,6.5
142,8.5,3.5,4,9.5,male,68.5,63.5,69.5,1.0,6.0
143,8.0,3.0,1,7.0,male,68.0,63.0,67.0,-1.0,4.0
144,8.0,3.0,4,4.5,female,68.0,63.0,64.5,-3.5,1.5
144,8.0,3.0,4,4.0,female,68.0,63.0,64.0,-4.0,1.0
144,8.0,3.0,4,10.0,male,68.0,63.0,70.0,2.0,7.0
144,8.0,3.0,4,8.0,male,68.0,63.0,68.0,0.0,5.0
145,8.0,3.0,8,3.0,female,68.0,63.0,63.0,-5.0,0.0
145,8.0,3.0,8,2.0,female,68.0,63.0,62.0,-6.0,-1.0
145,8.0,3.0,8,2.0,female,68.0,63.0,62.0,-6.0,-1.0
145,8.0,3.0,8,11.0,male,68.0,63.0,71.0,3.0,8.0
145,8.0,3.0,8,8.0,male,68.0,63.0,68.0,0.0,5.0
145,8.0,3.0,8,6.0,male,68.0,63.0,66.0,-2.0,3.0
145,8.0,3.0,8,5.5,male,68.0,63.0,65.5,-2.5,2.5
145,8.0,3.0,8,5.0,male,68.0,63.0,65.0,-3.0,2.0
146,8.0,3.0,6,4.0,female,68.0,63.0,64.0,-4.0,1.0
146,8.0,3.0,6,3.5,female,68.0,63.0,63.5,-4.5,0.5
146,8.0,3.0,6,1.0,female,68.0,63.0,61.0,-7.0,-2.0
146,8.0,3.0,6,7.0,male,68.0,63.0,67.0,-1.0,4.0
146,8.0,3.0,6,7.0,male,68.0,63.0,67.0,-1.0,4.0
146,8.0,3.0,6,6.0,male,68.0,63.0,66.0,-2.0,3.0
147,8.5,3.5,1,8.2,male,68.5,63.5,68.2,-0.3,4.7
148,8.0,3.0,1,10.0,male,68.0,63.0,70.0,2.0,7.0
149,8.2,3.5,5,4.5,female,68.2,63.5,64.5,-3.7,1.0
